title,authors,average_rating,isbn,# num_pages
Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,0451147952,340
Letters of Ayn Rand,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,0452274044,681
Sailing for Dummies,J.J. Isler-Peter Isler,3.94,0471791431,416
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,0553803816,368
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,0375755195,192
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.63,1592283195,286
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.08,0975599518,571
The Natural,Bernard Malamud-Kevin Baker,3.63,0374502005,231
Digging to America,Anne Tyler,3.55,0307263940,277
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo-Bonnie Lisle,3.77,0312405545,826
Modern Latin America,Thomas E. Skidmore-Peter H. Smith,3.59,019517013X,528
The Plot Against America,Philip Roth,3.75,1400079497,391
America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,0713998946,228
Naked Pictures of Famous People,Jon Stewart,3.59,0688171621,164
Collected Stories,Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,0060932686,352
Crónica de una muerte anunciada,Gabriel García Márquez,3.96,1400034957,118
Cien años de soledad,Gabriel García Márquez,4.06,0307350428,496
Del amor y otros demonios,Gabriel García Márquez,3.98,0307350444,176
Living to Tell the Tale,Gabriel García Márquez-Edith Grossman,3.98,140003454X,533
Memoria de mis putas tristes,Gabriel García Márquez,3.59,1400095808,112
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,0375708111,425
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon-Thanissaro Bhikkhu,4.38,086171492X,288
The Mini Rough Guide to London,Rob Humphreys-Beth Chaplin-Rebecca Morrill,3.75,184353584X,363
